id;path;ext;size_bytes;loc;area;categoria;accion
1;./smartpantry-api/src/index.ts;ts;1946;51;backend;;
2;./smartpantry-api/src/llm/llmClient.ts;ts;3335;101;backend;;
3;./smartpantry-api/src/recipes/match.ts;ts;1335;39;backend;;
4;./smartpantry-api/src/recipes/recipes.db.ts;ts;1367;45;backend;;
5;./smartpantry-api/src/recipes/validate.ts;ts;732;26;backend;;
6;./smartpantry-api/src/scanner/offClient.ts;ts;863;27;backend;;
7;./smartpantry-api/src/scanner/score.ts;ts;2646;80;backend;;
8;./smartpantry-api/src/types.ts;ts;745;40;backend;;
9;./smartpantry-api/src/utils.ts;ts;381;13;backend;;
10;./src/App.tsx;tsx;6173;171;frontend;;
11;./src/components/ToastProvider.tsx;tsx;571;28;frontend;;
12;./src/contexts/AuthContext.tsx;tsx;3011;104;frontend;;
13;./src/features/analytics/AnalyticsView.tsx;tsx;18031;483;frontend;;
14;./src/features/auth/LoginView.tsx;tsx;3139;89;frontend;;
15;./src/features/auth/RegisterView.tsx;tsx;4825;135;frontend;;
16;./src/features/inventory/AddItemModal.tsx;tsx;5772;172;frontend;;
17;./src/features/inventory/InventoryView.tsx;tsx;9253;281;frontend;;
18;./src/features/inventory/QuantityStepper.tsx;tsx;1106;47;frontend;;
19;./src/features/inventory/components/BarcodeScanner.tsx;tsx;1572;41;frontend;;
20;./src/features/recipes/RecipeCard.tsx;tsx;5180;123;frontend;;
21;./src/features/recipes/RecipesView.tsx;tsx;3142;106;frontend;;
22;./src/features/shopping/ShoppingView.tsx;tsx;13169;391;frontend;;
23;./src/main.tsx;tsx;524;18;frontend;;
24;./src/services/api.ts;ts;3101;103;frontend;;
25;./src/state/store.ts;ts;13090;431;frontend;;
26;./src/store/useStore.ts;ts;3440;87;frontend;;
27;./src/styles.css;css;18960;584;frontend;;
28;./src/ui/AppShell.tsx;tsx;6868;211;frontend;;
29;./src/ui/kit.tsx;tsx;5123;188;frontend;;
